Name: Ntoskrnl.exe

Description: Windows NT Executive


Ordinal	Exported
Value:	Name:
201		FsRtlNormalizeNtstatus
202		FsRtlNotifyChangeDirectory
203		FsRtlNotifyCleanup
204		FsRtlNotifyFullChangeDirectory
205		FsRtlNotifyFullReportChange
206		FsRtlNotifyInitializeSync
207		FsRtlNotifyReportChange
208		FsRtlNotifyUninitializeSync
209		FsRtlNumberOfRunsInLargeMcb
210		FsRtlNumberOfRunsInMcb
211		FsRtlOplockFsctrl
212		FsRtlOplockIsFastIoPossible
213		FsRtlPostPagingFileStackOverflow
214		FsRtlPostStackOverflow
215		FsRtlPrepareMdlWrite
216		FsRtlPrepareMdlWriteDev
217		FsRtlPrivateLock
218		FsRtlProcessFileLock
219		FsRtlRegisterUncProvider
220		FsRtlRemoveLargeMcbEntry
221		FsRtlRemoveMcbEntry
222		FsRtlSplitLargeMcb
223		FsRtlSyncVolumes
224		FsRtlTruncateLargeMcb
225		FsRtlTruncateMcb
226		FsRtlUninitializeFileLock
227		FsRtlUninitializeLargeMcb
228		FsRtlUninitializeMcb
229		FsRtlUninitializeOplock
230		HalDispatchTable
231		HalPrivateDispatchTable
232		IoAcquireCancelSpinLock
233		IoAcquireVpbSpinLock
234		IoAdapterObjectType
235		IoAllocateAdapterChannel
236		IoAllocateController
237		IoAllocateErrorLogEntry
238		IoAllocateIrp
239		IoAllocateMdl
240		IoAssignResources
241		IoAttachDevice
242		IoAttachDeviceByPointer
243		IoAttachDeviceToDeviceStack
244		IoBuildAsynchronousFsdRequest
245		IoBuildDeviceIoControlRequest
246		IoBuildPartialMdl
247		IoBuildSynchronousFsdRequest
248		IoCallDriver
249		IoCancelIrp
250		IoCheckDesiredAccess
251		IoCheckEaBufferValidity
252		IoCheckFunctionAccess
253		IoCheckShareAccess
254		IoCompleteRequest
255		IoConnectInterrupt
256		IoCreateController
257		IoCreateDevice
258		IoCreateFile
259		IoCreateNotificationEvent
260		IoCreateStreamFileObject
261		IoCreateSymbolicLink
262		IoCreateSynchronizationEvent
263		IoCreateUnprotectedSymbolicLink
264		IoDeleteController
265		IoDeleteDevice
266		IoDeleteSymbolicLink
267		IoDetachDevice
268		IoDeviceHandlerObjectSize
269		IoDeviceHandlerObjectType
270		IoDeviceObjectType
271		IoDisconnectInterrupt
272		IoDriverObjectType
273		IoEnqueueIrp
274		IoFastQueryNetworkAttributes
275		IoFileObjectType
276		IoFreeController
277		IoFreeIrp
278		IoFreeMdl
279		IoGetAttachedDevice
280		IoGetBaseFileSystemDeviceObject
281		IoGetConfigurationInformation
282		IoGetCurrentProcess
283		IoGetDeviceObjectPointer
284		IoGetDeviceToVerify
285		IoGetFileObjectGenericMapping
286		IoGetInitialStack
287		IoGetRelatedDeviceObject
288		IoGetRequestorProcess
289		IoGetStackLimits
290		IoGetTopLevelIrp
291		IoInitializeIrp
292		IoInitializeTimer
293		IoIsOperationSynchronous
294		IoIsSystemThread
295		IoMakeAssociatedIrp
296		IoOpenDeviceInstanceKey
297		IoPageRead
298		IoQueryDeviceDescription
299		IoQueryDeviceEnumInfo
300		IoQueryFileInformation
301		IoQueryVolumeInformation
302		IoQueueThreadIrp
303		IoRaiseHardError
304		IoRaiseInformationalHardError
305		IoReadOperationCount
306		IoReadTransferCount
307		IoRegisterDriverReinitialization
308		IoRegisterFileSystem
309		IoRegisterFsRegistrationChange
310		IoRegisterShutdownNotification
311		IoReleaseCancelSpinLock
312		IoReleaseVpbSpinLock
313		IoRemoveShareAccess
314		IoReportHalResourceUsage
315		IoReportResourceUsage
316		IoSetDeviceToVerify
317		IoSetHardErrorOrVerifyDevice
318		IoSetInformation
319		IoSetShareAccess
320		IoSetThreadHardErrorMode
321		IoSetTopLevelIrp
322		IoStartNextPacket
323		IoStartNextPacketByKey
324		IoStartPacket
325		IoStartTimer
326		IoStatisticsLock
327		IoStopTimer
328		IoSynchronousPageWrite
329		IoThreadToProcess
330		IoUnregisterFileSystem
331		IoUnregisterFsRegistrationChange
332		IoUnregisterShutdownNotification
333		IoUpdateShareAccess
334		IoVerifyVolume
335		IoWriteErrorLogEntry
336		IoWriteOperationCount
337		IoWriteTransferCount
338		KdDebuggerEnabled
339		KdDebuggerNotPresent
340		KdPollBreakIn
341		Ke386CallBios
342		Ke386IoSetAccessProcess
343		Ke386QueryIoAccessMap
344		Ke386SetIoAccessMap
345		KeAcquireSpinLockAtDpcLevel
346		KeAddSystemServiceTable
347		KeAttachProcess
348		KeBoostCurrentThread
349		KeBugCheck
350		KeBugCheckEx
351		KeCancelTimer
352		KeClearEvent
353		KeConnectInterrupt
354		KeDcacheFlushCount
355		KeDelayExecutionThread
356		KeDeregisterBugCheckCallback
357		KeDetachProcess
358		KeDisconnectInterrupt
359		KeEnterCriticalRegion
360		KeEnterKernelDebugger
361		KeFindConfigurationEntry
362		KeFindConfigurationNextEntry
363		KeFlushEntireTb
364		KeGetCurrentThread
365		KeGetPreviousMode
366		KeI386AbiosCall
367		KeI386AllocateGdtSelectors
368		KeI386Call16BitCStyleFunction
369		KeI386Call16BitFunction
370		KeI386FlatToGdtSelector
371		KeI386GetLid
372		KeI386MachineType
373		KeI386ReleaseGdtSelectors
374		KeI386ReleaseLid
375		KeI386SetGdtSelector
376		KeIcacheFlushCount
377		KeInitializeApc
378		KeInitializeDeviceQueue
379		KeInitializeDpc
380		KeInitializeEvent
381		KeInitializeInterrupt
382		KeInitializeMutant
383		KeInitializeMutex
384		KeInitializeQueue
385		KeInitializeSemaphore
386		KeInitializeSpinLock
387		KeInitializeTimer
388		KeInitializeTimerEx
389		KeInsertByKeyDeviceQueue
390		KeInsertDeviceQueue
391		KeInsertHeadQueue
392		KeInsertQueue
393		KeInsertQueueApc
394		KeInsertQueueDpc
395		KeIsExecutingDpc
396		KeLeaveCriticalRegion
397		KeLoaderBlock
398		KeNumberProcessors
399		KeProfileInterrupt
400		KeProfileInterruptWithSource
401		KePulseEvent
402		KeQuerySystemTime
403		KeQueryTickCount
404		KeQueryTimeIncrement
405		KeRaiseUserException
406		KeReadStateEvent
407		KeReadStateMutant
408		KeReadStateMutex
409		KeReadStateQueue
410		KeReadStateSemaphore
411		KeReadStateTimer
412		KeRegisterBugCheckCallback
413		KeReleaseMutant
414		KeReleaseMutex
415		KeReleaseSemaphore
416		KeReleaseSpinLockFromDpcLevel
417		KeRemoveByKeyDeviceQueue
418		KeRemoveDeviceQueue
419		KeRemoveEntryDeviceQueue
420		KeRemoveQueue
421		KeRemoveQueueDpc
422		KeResetEvent
423		KeRestoreFloatingPointState
424		KeRundownQueue
425		KeSaveFloatingPointState
426		KeServiceDescriptorTable
427		KeSetAffinityThread
428		KeSetBasePriorityThread
429		KeSetDmaIoCoherency
430		KeSetEvent
431		KeSetEventBoostPriority
432		KeSetIdealProcessorThread
433		KeSetImportanceDpc
434		KeSetKernelStackSwapEnable
435		KeSetPriorityThread
436		KeSetProfileIrql
437		KeSetTargetProcessorDpc
438		KeSetTimeIncrement
439		KeSetTimer
440		KeSetTimerEx
441		KeSynchronizeExecution
442		KeTerminateThread
443		KeTickCount
444		KeUpdateRunTime
445		KeUpdateSystemTime
446		KeUserModeCallback
447		KeWaitForMultipleObjects
448		KeWaitForMutexObject
449		KeWaitForSingleObject
450		KiBugCheckData
451		KiCoprocessorError
452		KiDeliverApc
453		KiDispatchInterrupt
454		KiIpiServiceRoutine
455		KiUnexpectedInterrupt
456		LdrAccessResource
457		LdrEnumResources
458		LdrFindResourceDirectory_U
459		LdrFindResource_U
460		LpcRequestPort
461		LsaCallAuthenticationPackage
462		LsaDeregisterLogonProcess
463		LsaFreeReturnBuffer
464		LsaLogonUser
465		LsaLookupAuthenticationPackage
466		LsaRegisterLogonProcess
467		MmAdjustWorkingSetSize
468		MmAllocateContiguousMemory
469		MmAllocateNonCachedMemory
470		MmBuildMdlForNonPagedPool
471		MmCanFileBeTruncated
472		MmCreateMdl
473		MmCreateSection
474		MmDbgTranslatePhysicalAddress
475		MmDisableModifiedWriteOfSection
476		MmFlushImageSection
477		MmForceSectionClosed
478		MmFreeContiguousMemory
479		MmFreeNonCachedMemory
480		MmGetPhysicalAddress
481		MmGrowKernelStack
482		MmIsAddressValid
483		MmIsNonPagedSystemAddressValid
484		MmIsRecursiveIoFault
485		MmIsThisAnNtAsSystem
486		MmLockPagableDataSection
487		MmLockPagableImageSection
488		MmLockPagableSectionByHandle
489		MmMapIoSpace
490		MmMapLockedPages
491		MmMapMemoryDumpMdl
492		MmMapVideoDisplay
493		MmMapViewInSystemSpace
494		MmMapViewOfSection
495		MmPageEntireDriver
496		MmProbeAndLockPages
497		MmQuerySystemSize
498		MmResetDriverPaging
499		MmSectionObjectType
500		MmSecureVirtualMemory
501		MmSetAddressRangeModified
502		MmSetBankedSection
503		MmSizeOfMdl
504		MmUnlockPagableImageSection
505		MmUnlockPages
506		MmUnmapIoSpace
507		MmUnmapLockedPages
508		MmUnmapVideoDisplay
509		MmUnmapViewInSystemSpace
510		MmUnmapViewOfSection
511		MmUnsecureVirtualMemory
512		NlsAnsiCodePage
513		NlsLeadByteInfo
514		NlsMbCodePageTag
515		NlsMbOemCodePageTag
516		NlsOemLeadByteInfo
517		NtAddAtom
518		NtAdjustPrivilegesToken
519		NtAllocateLocallyUniqueId
520		NtAllocateUuids
521		NtAllocateVirtualMemory
522		NtBuildNumber
523		NtClose
524		NtConnectPort
525		NtCreateEvent
526		NtCreateFile
527		NtCreateSection
528		NtDeleteAtom
529		NtDeleteFile
530		NtDeviceIoControlFile
531		NtDuplicateObject
532		NtDuplicateToken
533		NtFindAtom
534		NtFreeVirtualMemory
535		NtFsControlFile
536		NtGlobalFlag
537		NtLockFile
538		NtMapViewOfSection
539		NtNotifyChangeDirectoryFile
540		NtOpenFile
541		NtOpenProcess
542		NtOpenProcessToken
543		NtQueryDirectoryFile
544		NtQueryEaFile
545		NtQueryInformationAtom
546		NtQueryInformationFile
547		NtQueryInformationProcess
548		NtQueryInformationToken
549		NtQueryOleDirectoryFile
550		NtQuerySecurityObject
551		NtQueryVolumeInformationFile
552		NtReadFile
553		NtRequestPort
554		NtRequestWaitReplyPort
555		NtSetEvent
556		NtSetInformationFile
557		NtSetInformationProcess
558		NtSetInformationThread
559		NtSetSecurityObject
560		NtUnlockFile
561		NtVdmControl
562		NtWaitForSingleObject
563		NtWriteFile
564		ObAssignSecurity
565		ObCheckCreateObjectAccess
566		ObCheckObjectAccess
567		ObCreateObject
568		ObDereferenceObject
569		ObFindHandleForObject
570		ObGetObjectPointerCount
571		ObGetObjectSecurity
572		ObInsertObject
573		ObMakeTemporaryObject
574		ObOpenObjectByName
575		ObOpenObjectByPointer
576		ObQueryNameString
577		ObQueryObjectAuditingByHandle
578		ObReferenceObjectByHandle
579		ObReferenceObjectByName
580		ObReferenceObjectByPointer
581		ObReleaseObjectSecurity
582		ObSetSecurityDescriptorInfo
583		PfxFindPrefix
584		PfxInitialize
585		PfxInsertPrefix
586		PfxRemovePrefix
587		PoQueryPowerSequence
588		PoRequestPowerChange
589		PoSetDeviceIdleDetection
590		ProbeForWrite
591		PsAssignImpersonationToken
592		PsChargePoolQuota
593		PsCreateSystemProcess
594		PsCreateSystemThread
595		PsCreateWin32Process
596		PsEstablishWin32Callouts
597		PsGetCurrentProcessId
598		PsGetCurrentThreadId
599		PsGetProcessExitTime
600		PsGetVersion
601		PsImpersonateClient
602		PsInitialSystemProcess
603		PsIsThreadTerminating
604		PsLookupProcessByProcessId
605		PsLookupProcessThreadByCid
606		PsLookupThreadByThreadId
607		PsProcessType
608		PsReferenceImpersonationToken
609		PsReferencePrimaryToken
610		PsReturnPoolQuota
611		PsRevertToSelf
612		PsSetCreateProcessNotifyRoutine
613		PsSetCreateThreadNotifyRoutine
614		PsSetLegoNotifyRoutine
615		PsSetProcessPriorityByClass
616		PsTerminateSystemThread
617		PsThreadType
618		READ_REGISTER_BUFFER_UCHAR
619		READ_REGISTER_BUFFER_ULONG
620		READ_REGISTER_BUFFER_USHORT
621		READ_REGISTER_UCHAR
622		READ_REGISTER_ULONG
623		READ_REGISTER_USHORT
624		RtlAbsoluteToSelfRelativeSD
625		RtlAddAccessAllowedAce
626		RtlAddAce
627		RtlAddAtomToAtomTable
628		RtlAllocateAndInitializeSid
629		RtlAllocateHeap
630		RtlAnsiCharToUnicodeChar
631		RtlAnsiStringToUnicodeSize
632		RtlAnsiStringToUnicodeString
633		RtlAppendAsciizToString
634		RtlAppendStringToString
635		RtlAppendUnicodeStringToString
636		RtlAppendUnicodeToString
637		RtlAreAllAccessesGranted
638		RtlAreAnyAccessesGranted
639		RtlAreBitsClear
640		RtlAreBitsSet
641		RtlAssert
642		RtlCaptureStackBackTrace
643		RtlCharToInteger
644		RtlCheckRegistryKey
645		RtlClearAllBits
646		RtlClearBits
647		RtlCompareMemory
648		RtlCompareMemoryUlong
649		RtlCompareString
650		RtlCompareUnicodeString
651		RtlCompressBuffer
652		RtlCompressChunks
653		RtlConvertLongToLargeInteger
654		RtlConvertSidToUnicodeString
655		RtlConvertUlongToLargeInteger
656		RtlCopyLuid
657		RtlCopySid
658		RtlCopyString
659		RtlCopyUnicodeString
660		RtlCreateAcl
661		RtlCreateAtomTable
662		RtlCreateHeap
663		RtlCreateRegistryKey
664		RtlCreateSecurityDescriptor
665		RtlCreateUnicodeString
666		RtlCustomCPToUnicodeN
667		RtlDecompressBuffer
668		RtlDecompressChunks
669		RtlDecompressFragment
670		RtlDelete
671		RtlDeleteAtomFromAtomTable
672		RtlDeleteElementGenericTable
673		RtlDeleteNoSplay
674		RtlDeleteRegistryValue
675		RtlDescribeChunk
676		RtlDestroyAtomTable
677		RtlDestroyHeap
678		RtlDowncaseUnicodeString
679		RtlEmptyAtomTable
680		RtlEnlargedIntegerMultiply
681		RtlEnlargedUnsignedDivide
682		RtlEnlargedUnsignedMultiply
683		RtlEnumerateGenericTable
684		RtlEnumerateGenericTableWithoutSplaying
685		RtlEqualLuid
686		RtlEqualSid
687		RtlEqualString
688		RtlEqualUnicodeString
689		RtlExtendedIntegerMultiply
690		RtlExtendedLargeIntegerDivide
691		RtlExtendedMagicDivide
692		RtlFillMemory
693		RtlFillMemoryUlong
694		RtlFindClearBits
695		RtlFindClearBitsAndSet
696		RtlFindFirstRunClear
697		RtlFindFirstRunSet
698		RtlFindLongestRunClear
699		RtlFindLongestRunSet
700		RtlFindMessage
701		RtlFindSetBits
702		RtlFindSetBitsAndClear
703		RtlFindUnicodePrefix
704		RtlFormatCurrentUserKeyPath
705		RtlFreeAnsiString
706		RtlFreeHeap
707		RtlFreeOemString
708		RtlFreeUnicodeString
709		RtlGenerate8dot3Name
710		RtlGetCallersAddress
711		RtlGetCompressionWorkSpaceSize
712		RtlGetDaclSecurityDescriptor
713		RtlGetDefaultCodePage
714		RtlGetElementGenericTable
715		RtlGetGroupSecurityDescriptor
716		RtlGetOwnerSecurityDescriptor
717		RtlImageNtHeader
718		RtlInitAnsiString
719		RtlInitCodePageTable
720		RtlInitString
721		RtlInitUnicodeString
722		RtlInitializeBitMap
723		RtlInitializeGenericTable
724		RtlInitializeSid
725		RtlInitializeUnicodePrefix
726		RtlInsertElementGenericTable
727		RtlInsertUnicodePrefix
728		RtlIntegerToChar
729		RtlIntegerToUnicodeString
730		RtlIsNameLegalDOS8Dot3
731		RtlLargeIntegerAdd
732		RtlLargeIntegerArithmeticShift
733		RtlLargeIntegerDivide
734		RtlLargeIntegerNegate
735		RtlLargeIntegerShiftLeft
736		RtlLargeIntegerShiftRight
737		RtlLargeIntegerSubtract
738		RtlLengthRequiredSid
739		RtlLengthSecurityDescriptor
740		RtlLengthSid
741		RtlLookupAtomInAtomTable
742		RtlLookupElementGenericTable
743		RtlMapGenericMask
744		RtlMoveMemory
745		RtlMultiByteToUnicodeN
746		RtlMultiByteToUnicodeSize
747		RtlNextUnicodePrefix
748		RtlNtStatusToDosError
749		RtlNtStatusToDosErrorNoTeb
750		RtlNumberGenericTableElements
751		RtlNumberOfClearBits
752		RtlNumberOfSetBits
753		RtlOemStringToCountedUnicodeString
754		RtlOemStringToUnicodeSize
755		RtlOemStringToUnicodeString
756		RtlOemToUnicodeN
757		RtlPinAtomInAtomTable
758		RtlPrefixString
759		RtlPrefixUnicodeString
760		RtlQueryAtomInAtomTable
761		RtlQueryRegistryValues
762		RtlQueryTimeZoneInformation
763		RtlRaiseException
764		RtlRandom
765		RtlRemoveUnicodePrefix
766		RtlReserveChunk
767		RtlSecondsSince1970ToTime
768		RtlSecondsSince1980ToTime
769		RtlSetAllBits
770		RtlSetBits
771		RtlSetDaclSecurityDescriptor
772		RtlSetGroupSecurityDescriptor
773		RtlSetOwnerSecurityDescriptor
774		RtlSetSaclSecurityDescriptor
775		RtlSetTimeZoneInformation
776		RtlSplay
777		RtlSubAuthorityCountSid
778		RtlSubAuthoritySid
779		RtlTimeFieldsToTime
780		RtlTimeToSecondsSince1970
781		RtlTimeToSecondsSince1980
782		RtlTimeToTimeFields
783		RtlUnicodeStringToAnsiSize
784		RtlUnicodeStringToAnsiString
785		RtlUnicodeStringToCountedOemString
786		RtlUnicodeStringToInteger
787		RtlUnicodeStringToOemSize
788		RtlUnicodeStringToOemString
789		RtlUnicodeToCustomCPN
790		RtlUnicodeToMultiByteN
791		RtlUnicodeToMultiByteSize
792		RtlUnicodeToOemN
793		RtlUnwind
794		RtlUpcaseUnicodeChar
795		RtlUpcaseUnicodeString
796		RtlUpcaseUnicodeStringToAnsiString
797		RtlUpcaseUnicodeStringToCountedOemString
798		RtlUpcaseUnicodeStringToOemString
799		RtlUpcaseUnicodeToCustomCPN
800		RtlUpcaseUnicodeToMultiByteN
801		RtlUpcaseUnicodeToOemN
802		RtlUpperChar
803		RtlUpperString
804		RtlValidSecurityDescriptor
805		RtlValidSid
806		RtlWriteRegistryValue
807		RtlZeroHeap
808		RtlZeroMemory
809		RtlxAnsiStringToUnicodeSize
810		RtlxOemStringToUnicodeSize
811		RtlxUnicodeStringToAnsiSize
812		RtlxUnicodeStringToOemSize
813		SeAccessCheck
814		SeAppendPrivileges
815		SeAssignSecurity
816		SeAuditingFileEvents
817		SeAuditingFileOrGlobalEvents
818		SeCaptureSecurityDescriptor
819		SeCaptureSubjectContext
820		SeCloseObjectAuditAlarm
821		SeCreateAccessState
822		SeCreateClientSecurity
823		SeDeassignSecurity
824		SeDeleteAccessState
825		SeDeleteObjectAuditAlarm
826		SeExports
827		SeFreePrivileges
828		SeImpersonateClient
829		SeLockSubjectContext
830		sionForTerminationNotification
831		SeOpenObjectAuditAlarm
832		SeOpenObjectForDeleteAuditAlarm
833		SePrivilegeCheck
834		SePrivilegeObjectAuditAlarm
835		SePublicDefaultDacl
836		SeQueryAuthenticationIdToken
837		SeQuerySecurityDescriptorInfo
838		SeRegisterLogonSessionTerminatedRoutine
839		SeReleaseSecurityDescriptor
840		SeReleaseSubjectContext
841		SeSetAccessStateGenericMapping
842		SeSetSecurityDescriptorInfo
843		SeSinglePrivilegeCheck
844		SeSystemDefaultDacl
845		SeTokenImpersonationLevel
846		SeTokenType
847		SeUnlockSubjectContext
848		SeUnregisterLogonSessionTerminatedRoutine
849		SeValidSecurityDescriptor
850		WRITE_REGISTER_BUFFER_UCHAR
851		WRITE_REGISTER_BUFFER_ULONG
852		WRITE_REGISTER_BUFFER_USHORT
853		WRITE_REGISTER_UCHAR
854		WRITE_REGISTER_ULONG
855		WRITE_REGISTER_USHORT
856		ZwAccessCheckAndAuditAlarm
857		ZwAlertThread
858		ZwAllocateVirtualMemory
859		ZwClearEvent
860		ZwClose
861		ZwCloseObjectAuditAlarm
862		ZwConnectPort
863		ZwCreateDirectoryObject
864		ZwCreateEvent
865		ZwCreateFile
866		ZwCreateKey
867		ZwCreateSection
868		ZwCreateSymbolicLinkObject
869		ZwDeleteFile
870		ZwDeleteKey
871		ZwDeleteValueKey
872		ZwDeviceIoControlFile
873		ZwDisplayString
874		ZwDuplicateObject
875		ZwDuplicateToken
876		ZwEnumerateKey
